"Country Name";"Country Code";"Series Name";"Series Code";"YR2020"
"Afghanistan";"AFG";"Surface area (sq. km)";"AG.SRF.TOTL.K2";652860
"Afghanistan";"AFG";"Population, total";"SP.POP.TOTL";38972230
"Albania";"ALB";"Surface area (sq. km)";"AG.SRF.TOTL.K2";28750
"Albania";"ALB";"Population, total";"SP.POP.TOTL";2837849
"Algeria";"DZA";"Surface area (sq. km)";"AG.SRF.TOTL.K2";2381741
"Algeria";"DZA";"Population, total";"SP.POP.TOTL";43451666
"American Samoa";"ASM";"Surface area (sq. km)";"AG.SRF.TOTL.K2";200
"American Samoa";"ASM";"Population, total";"SP.POP.TOTL";46189
"Andorra";"AND";"Surface area (sq. km)";"AG.SRF.TOTL.K2";470
"Andorra";"AND";"Population, total";"SP.POP.TOTL";77700
"Angola";"AGO";"Surface area (sq. km)";"AG.SRF.TOTL.K2";1246700
"Angola";"AGO";"Population, total";"SP.POP.TOTL";33428486
"Antigua and Barbuda";"ATG";"Surface area (sq. km)";"AG.SRF.TOTL.K2";440
"Antigua and Barbuda";"ATG";"Population, total";"SP.POP.TOTL";92664
"Argentina";"ARG";"Surface area (sq. km)";"AG.SRF.TOTL.K2";2780400
"Argentina";"ARG";"Population, total";"SP.POP.TOTL";45376763
"Armenia";"ARM";"Surface area (sq. km)";"AG.SRF.TOTL.K2";29740
"Armenia";"ARM";"Population, total";"SP.POP.TOTL";2805608
"Aruba";"ABW";"Surface area (sq. km)";"AG.SRF.TOTL.K2";180
"Aruba";"ABW";"Population, total";"SP.POP.TOTL";106585
"Australia";"AUS";"Surface area (sq. km)";"AG.SRF.TOTL.K2";7741220
"Australia";"AUS";"Population, total";"SP.POP.TOTL";25649248
"Austria";"AUT";"Surface area (sq. km)";"AG.SRF.TOTL.K2";83879
"Austria";"AUT";"Population, total";"SP.POP.TOTL";8916864
"Azerbaijan";"AZE";"Surface area (sq. km)";"AG.SRF.TOTL.K2";86600
"Azerbaijan";"AZE";"Population, total";"SP.POP.TOTL";10093121
"Bahamas, The";"BHS";"Surface area (sq. km)";"AG.SRF.TOTL.K2";13880
"Bahamas, The";"BHS";"Population, total";"SP.POP.TOTL";406471
"Bahrain";"BHR";"Surface area (sq. km)";"AG.SRF.TOTL.K2";785
"Bahrain";"BHR";"Population, total";"SP.POP.TOTL";1477469
"Bangladesh";"BGD";"Surface area (sq. km)";"AG.SRF.TOTL.K2";147570
"Bangladesh";"BGD";"Population, total";"SP.POP.TOTL";167420951
"Barbados";"BRB";"Surface area (sq. km)";"AG.SRF.TOTL.K2";430
"Barbados";"BRB";"Population, total";"SP.POP.TOTL";280693
"Belarus";"BLR";"Surface area (sq. km)";"AG.SRF.TOTL.K2";207610
"Belarus";"BLR";"Population, total";"SP.POP.TOTL";9379952
"Belgium";"BEL";"Surface area (sq. km)";"AG.SRF.TOTL.K2";30530
"Belgium";"BEL";"Population, total";"SP.POP.TOTL";11538604
"Belize";"BLZ";"Surface area (sq. km)";"AG.SRF.TOTL.K2";22970
"Belize";"BLZ";"Population, total";"SP.POP.TOTL";394921
"Benin";"BEN";"Surface area (sq. km)";"AG.SRF.TOTL.K2";114760
"Benin";"BEN";"Population, total";"SP.POP.TOTL";12643123
"Bermuda";"BMU";"Surface area (sq. km)";"AG.SRF.TOTL.K2";4290
"Bermuda";"BMU";"Population, total";"SP.POP.TOTL";63893
"Bhutan";"BTN";"Surface area (sq. km)";"AG.SRF.TOTL.K2";38390
"Bhutan";"BTN";"Population, total";"SP.POP.TOTL";772506
"Bolivia";"BOL";"Surface area (sq. km)";"AG.SRF.TOTL.K2";1098580
"Bolivia";"BOL";"Population, total";"SP.POP.TOTL";11936162
"Bosnia and Herzegovina";"BIH";"Surface area (sq. km)";"AG.SRF.TOTL.K2";51210
"Bosnia and Herzegovina";"BIH";"Population, total";"SP.POP.TOTL";3318407
"Botswana";"BWA";"Surface area (sq. km)";"AG.SRF.TOTL.K2";581730
"Botswana";"BWA";"Population, total";"SP.POP.TOTL";2546402
"Brazil";"BRA";"Surface area (sq. km)";"AG.SRF.TOTL.K2";8515770
"Brazil";"BRA";"Population, total";"SP.POP.TOTL";213196304
"British Virgin Islands";"VGB";"Surface area (sq. km)";"AG.SRF.TOTL.K2";150
"British Virgin Islands";"VGB";"Population, total";"SP.POP.TOTL";30910
"Brunei Darussalam";"BRN";"Surface area (sq. km)";"AG.SRF.TOTL.K2";5770
"Brunei Darussalam";"BRN";"Population, total";"SP.POP.TOTL";441725
"Bulgaria";"BGR";"Surface area (sq. km)";"AG.SRF.TOTL.K2";111000
"Bulgaria";"BGR";"Population, total";"SP.POP.TOTL";6934015
"Burkina Faso";"BFA";"Surface area (sq. km)";"AG.SRF.TOTL.K2";274220
"Burkina Faso";"BFA";"Population, total";"SP.POP.TOTL";21522626
"Burundi";"BDI";"Surface area (sq. km)";"AG.SRF.TOTL.K2";27830
"Burundi";"BDI";"Population, total";"SP.POP.TOTL";12220227
"Cabo Verde";"CPV";"Surface area (sq. km)";"AG.SRF.TOTL.K2";4030
"Cabo Verde";"CPV";"Population, total";"SP.POP.TOTL";582640
"Cambodia";"KHM";"Surface area (sq. km)";"AG.SRF.TOTL.K2";181040
"Cambodia";"KHM";"Population, total";"SP.POP.TOTL";16396860
"Cameroon";"CMR";"Surface area (sq. km)";"AG.SRF.TOTL.K2";475440
"Cameroon";"CMR";"Population, total";"SP.POP.TOTL";26491087
"Canada";"CAN";"Surface area (sq. km)";"AG.SRF.TOTL.K2";9879750
"Canada";"CAN";"Population, total";"SP.POP.TOTL";38028638
"Cayman Islands";"CYM";"Surface area (sq. km)";"AG.SRF.TOTL.K2";264
"Cayman Islands";"CYM";"Population, total";"SP.POP.TOTL";67311
"Central African Republic";"CAF";"Surface area (sq. km)";"AG.SRF.TOTL.K2";622980
"Central African Republic";"CAF";"Population, total";"SP.POP.TOTL";5343020
"Chad";"TCD";"Surface area (sq. km)";"AG.SRF.TOTL.K2";1284000
"Chad";"TCD";"Population, total";"SP.POP.TOTL";16644701
"Channel Islands";"CHI";"Surface area (sq. km)";"AG.SRF.TOTL.K2";198
"Channel Islands";"CHI";"Population, total";"SP.POP.TOTL";171113
"Chile";"CHL";"Surface area (sq. km)";"AG.SRF.TOTL.K2";756700
"Chile";"CHL";"Population, total";"SP.POP.TOTL";19300315
"China";"CHN";"Surface area (sq. km)";"AG.SRF.TOTL.K2";9562910
"China";"CHN";"Population, total";"SP.POP.TOTL";1411100000
"Colombia";"COL";"Surface area (sq. km)";"AG.SRF.TOTL.K2";1140619,05
"Colombia";"COL";"Population, total";"SP.POP.TOTL";50930662
"Comoros";"COM";"Surface area (sq. km)";"AG.SRF.TOTL.K2";1861
"Comoros";"COM";"Population, total";"SP.POP.TOTL";806166
"Congo, Dem. Rep.";"COD";"Surface area (sq. km)";"AG.SRF.TOTL.K2";2344860
"Congo, Dem. Rep.";"COD";"Population, total";"SP.POP.TOTL";92853164
"Congo, Rep.";"COG";"Surface area (sq. km)";"AG.SRF.TOTL.K2";342000
"Congo, Rep.";"COG";"Population, total";"SP.POP.TOTL";5702174
"Costa Rica";"CRI";"Surface area (sq. km)";"AG.SRF.TOTL.K2";51100
"Costa Rica";"CRI";"Population, total";"SP.POP.TOTL";5123105
"Cote d'Ivoire";"CIV";"Surface area (sq. km)";"AG.SRF.TOTL.K2";322460
"Cote d'Ivoire";"CIV";"Population, total";"SP.POP.TOTL";26811790
"Croatia";"HRV";"Surface area (sq. km)";"AG.SRF.TOTL.K2";88070
"Croatia";"HRV";"Population, total";"SP.POP.TOTL";4047680
"Cuba";"CUB";"Surface area (sq. km)";"AG.SRF.TOTL.K2";109880
"Cuba";"CUB";"Population, total";"SP.POP.TOTL";11300698
"Curacao";"CUW";"Surface area (sq. km)";"AG.SRF.TOTL.K2";444
"Curacao";"CUW";"Population, total";"SP.POP.TOTL";154947
"Cyprus";"CYP";"Surface area (sq. km)";"AG.SRF.TOTL.K2";9250
"Cyprus";"CYP";"Population, total";"SP.POP.TOTL";1237537
"Czechia";"CZE";"Surface area (sq. km)";"AG.SRF.TOTL.K2";78871,01
"Czechia";"CZE";"Population, total";"SP.POP.TOTL";10697858
"Denmark";"DNK";"Surface area (sq. km)";"AG.SRF.TOTL.K2";42920
"Denmark";"DNK";"Population, total";"SP.POP.TOTL";5831404
"Djibouti";"DJI";"Surface area (sq. km)";"AG.SRF.TOTL.K2";23200
"Djibouti";"DJI";"Population, total";"SP.POP.TOTL";1090156
"Dominica";"DMA";"Surface area (sq. km)";"AG.SRF.TOTL.K2";750
"Dominica";"DMA";"Population, total";"SP.POP.TOTL";71995
"Dominican Republic";"DOM";"Surface area (sq. km)";"AG.SRF.TOTL.K2";146839,31
"Dominican Republic";"DOM";"Population, total";"SP.POP.TOTL";10999664
"Ecuador";"ECU";"Surface area (sq. km)";"AG.SRF.TOTL.K2";256370
"Ecuador";"ECU";"Population, total";"SP.POP.TOTL";17588595
"Egypt, Arab Rep.";"EGY";"Surface area (sq. km)";"AG.SRF.TOTL.K2";1001450
"Egypt, Arab Rep.";"EGY";"Population, total";"SP.POP.TOTL";107465134
"El Salvador";"SLV";"Surface area (sq. km)";"AG.SRF.TOTL.K2";21040
"El Salvador";"SLV";"Population, total";"SP.POP.TOTL";6292731
"Equatorial Guinea";"GNQ";"Surface area (sq. km)";"AG.SRF.TOTL.K2";28050
"Equatorial Guinea";"GNQ";"Population, total";"SP.POP.TOTL";1596049
"Eritrea";"ERI";"Surface area (sq. km)";"AG.SRF.TOTL.K2";121630,327
"Eritrea";"ERI";"Population, total";"SP.POP.TOTL";3555868
"Estonia";"EST";"Surface area (sq. km)";"AG.SRF.TOTL.K2";45340
"Estonia";"EST";"Population, total";"SP.POP.TOTL";1329522
"Eswatini";"SWZ";"Surface area (sq. km)";"AG.SRF.TOTL.K2";17360
"Eswatini";"SWZ";"Population, total";"SP.POP.TOTL";1180655
"Ethiopia";"ETH";"Surface area (sq. km)";"AG.SRF.TOTL.K2";1136239,544
"Ethiopia";"ETH";"Population, total";"SP.POP.TOTL";117190911
"Faroe Islands";"FRO";"Surface area (sq. km)";"AG.SRF.TOTL.K2";12959,67
"Faroe Islands";"FRO";"Population, total";"SP.POP.TOTL";52415
"Fiji";"FJI";"Surface area (sq. km)";"AG.SRF.TOTL.K2";18270
"Fiji";"FJI";"Population, total";"SP.POP.TOTL";920422
"Finland";"FIN";"Surface area (sq. km)";"AG.SRF.TOTL.K2";338460
"Finland";"FIN";"Population, total";"SP.POP.TOTL";5529543
"France";"FRA";"Surface area (sq. km)";"AG.SRF.TOTL.K2";549086,87
"France";"FRA";"Population, total";"SP.POP.TOTL";67571107
"French Polynesia";"PYF";"Surface area (sq. km)";"AG.SRF.TOTL.K2";3471
"French Polynesia";"PYF";"Population, total";"SP.POP.TOTL";301920
"Gabon";"GAB";"Surface area (sq. km)";"AG.SRF.TOTL.K2";267670
"Gabon";"GAB";"Population, total";"SP.POP.TOTL";2292573
"Gambia, The";"GMB";"Surface area (sq. km)";"AG.SRF.TOTL.K2";11300
"Gambia, The";"GMB";"Population, total";"SP.POP.TOTL";2573995
"Georgia";"GEO";"Surface area (sq. km)";"AG.SRF.TOTL.K2";69700
"Georgia";"GEO";"Population, total";"SP.POP.TOTL";3722716
"Germany";"DEU";"Surface area (sq. km)";"AG.SRF.TOTL.K2";357590
"Germany";"DEU";"Population, total";"SP.POP.TOTL";83160871
"Ghana";"GHA";"Surface area (sq. km)";"AG.SRF.TOTL.K2";238530
"Ghana";"GHA";"Population, total";"SP.POP.TOTL";32180401
"Gibraltar";"GIB";"Surface area (sq. km)";"AG.SRF.TOTL.K2";10
"Gibraltar";"GIB";"Population, total";"SP.POP.TOTL";32709
"Greece";"GRC";"Surface area (sq. km)";"AG.SRF.TOTL.K2";131960
"Greece";"GRC";"Population, total";"SP.POP.TOTL";10698599
"Greenland";"GRL";"Surface area (sq. km)";"AG.SRF.TOTL.K2";410450
"Greenland";"GRL";"Population, total";"SP.POP.TOTL";56367
"Grenada";"GRD";"Surface area (sq. km)";"AG.SRF.TOTL.K2";340
"Grenada";"GRD";"Population, total";"SP.POP.TOTL";123663
"Guam";"GUM";"Surface area (sq. km)";"AG.SRF.TOTL.K2";540
"Guam";"GUM";"Population, total";"SP.POP.TOTL";169231
"Guatemala";"GTM";"Surface area (sq. km)";"AG.SRF.TOTL.K2";108890
"Guatemala";"GTM";"Population, total";"SP.POP.TOTL";16858333
"Guinea";"GIN";"Surface area (sq. km)";"AG.SRF.TOTL.K2";245860
"Guinea";"GIN";"Population, total";"SP.POP.TOTL";13205153
"Guinea-Bissau";"GNB";"Surface area (sq. km)";"AG.SRF.TOTL.K2";36130
"Guinea-Bissau";"GNB";"Population, total";"SP.POP.TOTL";2015828
"Guyana";"GUY";"Surface area (sq. km)";"AG.SRF.TOTL.K2";214970
"Guyana";"GUY";"Population, total";"SP.POP.TOTL";797202
"Haiti";"HTI";"Surface area (sq. km)";"AG.SRF.TOTL.K2";27750
"Haiti";"HTI";"Population, total";"SP.POP.TOTL";11306801
"Honduras";"HND";"Surface area (sq. km)";"AG.SRF.TOTL.K2";112490
"Honduras";"HND";"Population, total";"SP.POP.TOTL";10121763
"Hong Kong SAR, China";"HKG";"Surface area (sq. km)";"AG.SRF.TOTL.K2";1110
"Hong Kong SAR, China";"HKG";"Population, total";"SP.POP.TOTL";7481000
"Hungary";"HUN";"Surface area (sq. km)";"AG.SRF.TOTL.K2";93030
"Hungary";"HUN";"Population, total";"SP.POP.TOTL";9750149
"Iceland";"ISL";"Surface area (sq. km)";"AG.SRF.TOTL.K2";103000
"Iceland";"ISL";"Population, total";"SP.POP.TOTL";366463
"India";"IND";"Surface area (sq. km)";"AG.SRF.TOTL.K2";3287260
"India";"IND";"Population, total";"SP.POP.TOTL";1396387127
"Indonesia";"IDN";"Surface area (sq. km)";"AG.SRF.TOTL.K2";1916906,77
"Indonesia";"IDN";"Population, total";"SP.POP.TOTL";271857970
"Iran, Islamic Rep.";"IRN";"Surface area (sq. km)";"AG.SRF.TOTL.K2";1745150
"Iran, Islamic Rep.";"IRN";"Population, total";"SP.POP.TOTL";87290193
"Iraq";"IRQ";"Surface area (sq. km)";"AG.SRF.TOTL.K2";435052
"Iraq";"IRQ";"Population, total";"SP.POP.TOTL";42556984
"Ireland";"IRL";"Surface area (sq. km)";"AG.SRF.TOTL.K2";70280
"Ireland";"IRL";"Population, total";"SP.POP.TOTL";4985382
"Isle of Man";"IMN";"Surface area (sq. km)";"AG.SRF.TOTL.K2";570
"Isle of Man";"IMN";"Population, total";"SP.POP.TOTL";84046
"Israel";"ISR";"Surface area (sq. km)";"AG.SRF.TOTL.K2";22070
"Israel";"ISR";"Population, total";"SP.POP.TOTL";9215100
"Italy";"ITA";"Surface area (sq. km)";"AG.SRF.TOTL.K2";302068
"Italy";"ITA";"Population, total";"SP.POP.TOTL";59438851
"Jamaica";"JAM";"Surface area (sq. km)";"AG.SRF.TOTL.K2";10990
"Jamaica";"JAM";"Population, total";"SP.POP.TOTL";2820436
"Japan";"JPN";"Surface area (sq. km)";"AG.SRF.TOTL.K2";377974
"Japan";"JPN";"Population, total";"SP.POP.TOTL";126261000
"Jordan";"JOR";"Surface area (sq. km)";"AG.SRF.TOTL.K2";89318
"Jordan";"JOR";"Population, total";"SP.POP.TOTL";10928721
"Kazakhstan";"KAZ";"Surface area (sq. km)";"AG.SRF.TOTL.K2";2724900
"Kazakhstan";"KAZ";"Population, total";"SP.POP.TOTL";18755666
"Kenya";"KEN";"Surface area (sq. km)";"AG.SRF.TOTL.K2";580370
"Kenya";"KEN";"Population, total";"SP.POP.TOTL";51985780
"Kiribati";"KIR";"Surface area (sq. km)";"AG.SRF.TOTL.K2";810
"Kiribati";"KIR";"Population, total";"SP.POP.TOTL";126463
"Korea, Dem. People's Rep.";"PRK";"Surface area (sq. km)";"AG.SRF.TOTL.K2";120540
"Korea, Dem. People's Rep.";"PRK";"Population, total";"SP.POP.TOTL";25867467
"Korea, Rep.";"KOR";"Surface area (sq. km)";"AG.SRF.TOTL.K2";100410
"Korea, Rep.";"KOR";"Population, total";"SP.POP.TOTL";51836239
"Kosovo";"XKX";"Surface area (sq. km)";"AG.SRF.TOTL.K2";".."
"Kosovo";"XKX";"Population, total";"SP.POP.TOTL";1790133
"Kuwait";"KWT";"Surface area (sq. km)";"AG.SRF.TOTL.K2";17820
"Kuwait";"KWT";"Population, total";"SP.POP.TOTL";4360444
"Kyrgyz Republic";"KGZ";"Surface area (sq. km)";"AG.SRF.TOTL.K2";199950
"Kyrgyz Republic";"KGZ";"Population, total";"SP.POP.TOTL";6579900
"Lao PDR";"LAO";"Surface area (sq. km)";"AG.SRF.TOTL.K2";236800
"Lao PDR";"LAO";"Population, total";"SP.POP.TOTL";7319399
"Latvia";"LVA";"Surface area (sq. km)";"AG.SRF.TOTL.K2";64590
"Latvia";"LVA";"Population, total";"SP.POP.TOTL";1900449
"Lebanon";"LBN";"Surface area (sq. km)";"AG.SRF.TOTL.K2";10450
"Lebanon";"LBN";"Population, total";"SP.POP.TOTL";5662923
"Lesotho";"LSO";"Surface area (sq. km)";"AG.SRF.TOTL.K2";30360
"Lesotho";"LSO";"Population, total";"SP.POP.TOTL";2254100
"Liberia";"LBR";"Surface area (sq. km)";"AG.SRF.TOTL.K2";111370
"Liberia";"LBR";"Population, total";"SP.POP.TOTL";5087584
"Libya";"LBY";"Surface area (sq. km)";"AG.SRF.TOTL.K2";1759540
"Libya";"LBY";"Population, total";"SP.POP.TOTL";6653942
"Liechtenstein";"LIE";"Surface area (sq. km)";"AG.SRF.TOTL.K2";160
"Liechtenstein";"LIE";"Population, total";"SP.POP.TOTL";38756
"Lithuania";"LTU";"Surface area (sq. km)";"AG.SRF.TOTL.K2";65290
"Lithuania";"LTU";"Population, total";"SP.POP.TOTL";2794885
"Luxembourg";"LUX";"Surface area (sq. km)";"AG.SRF.TOTL.K2";2590
"Luxembourg";"LUX";"Population, total";"SP.POP.TOTL";630419
"Macao SAR, China";"MAC";"Surface area (sq. km)";"AG.SRF.TOTL.K2";32,9
"Macao SAR, China";"MAC";"Population, total";"SP.POP.TOTL";676283
"Madagascar";"MDG";"Surface area (sq. km)";"AG.SRF.TOTL.K2";587295
"Madagascar";"MDG";"Population, total";"SP.POP.TOTL";28225177
"Malawi";"MWI";"Surface area (sq. km)";"AG.SRF.TOTL.K2";118480
"Malawi";"MWI";"Population, total";"SP.POP.TOTL";19377061
"Malaysia";"MYS";"Surface area (sq. km)";"AG.SRF.TOTL.K2";330241
"Malaysia";"MYS";"Population, total";"SP.POP.TOTL";33199993
"Maldives";"MDV";"Surface area (sq. km)";"AG.SRF.TOTL.K2";300
"Maldives";"MDV";"Population, total";"SP.POP.TOTL";514438
"Mali";"MLI";"Surface area (sq. km)";"AG.SRF.TOTL.K2";1240190
"Mali";"MLI";"Population, total";"SP.POP.TOTL";21224040
"Malta";"MLT";"Surface area (sq. km)";"AG.SRF.TOTL.K2";320
"Malta";"MLT";"Population, total";"SP.POP.TOTL";515332
"Marshall Islands";"MHL";"Surface area (sq. km)";"AG.SRF.TOTL.K2";180
"Marshall Islands";"MHL";"Population, total";"SP.POP.TOTL";43413
"Mauritania";"MRT";"Surface area (sq. km)";"AG.SRF.TOTL.K2";1030700
"Mauritania";"MRT";"Population, total";"SP.POP.TOTL";4498604
"Mauritius";"MUS";"Surface area (sq. km)";"AG.SRF.TOTL.K2";2007
"Mauritius";"MUS";"Population, total";"SP.POP.TOTL";1266014
"Mexico";"MEX";"Surface area (sq. km)";"AG.SRF.TOTL.K2";1964375
"Mexico";"MEX";"Population, total";"SP.POP.TOTL";125998302
"Micronesia, Fed. Sts.";"FSM";"Surface area (sq. km)";"AG.SRF.TOTL.K2";700
"Micronesia, Fed. Sts.";"FSM";"Population, total";"SP.POP.TOTL";112106
"Moldova";"MDA";"Surface area (sq. km)";"AG.SRF.TOTL.K2";33850
"Moldova";"MDA";"Population, total";"SP.POP.TOTL";2635130
"Monaco";"MCO";"Surface area (sq. km)";"AG.SRF.TOTL.K2";74,92
"Monaco";"MCO";"Population, total";"SP.POP.TOTL";36922
"Mongolia";"MNG";"Surface area (sq. km)";"AG.SRF.TOTL.K2";1564115,749
"Mongolia";"MNG";"Population, total";"SP.POP.TOTL";3294335
"Montenegro";"MNE";"Surface area (sq. km)";"AG.SRF.TOTL.K2";13810
"Montenegro";"MNE";"Population, total";"SP.POP.TOTL";621306
"Morocco";"MAR";"Surface area (sq. km)";"AG.SRF.TOTL.K2";446550
"Morocco";"MAR";"Population, total";"SP.POP.TOTL";36688772
"Mozambique";"MOZ";"Surface area (sq. km)";"AG.SRF.TOTL.K2";799380
"Mozambique";"MOZ";"Population, total";"SP.POP.TOTL";31178239
"Myanmar";"MMR";"Surface area (sq. km)";"AG.SRF.TOTL.K2";676590
"Myanmar";"MMR";"Population, total";"SP.POP.TOTL";53423198
"Namibia";"NAM";"Surface area (sq. km)";"AG.SRF.TOTL.K2";824290
"Namibia";"NAM";"Population, total";"SP.POP.TOTL";2489098
"Nauru";"NRU";"Surface area (sq. km)";"AG.SRF.TOTL.K2";20
"Nauru";"NRU";"Population, total";"SP.POP.TOTL";12315
"Nepal";"NPL";"Surface area (sq. km)";"AG.SRF.TOTL.K2";147180
"Nepal";"NPL";"Population, total";"SP.POP.TOTL";29348627
"Netherlands";"NLD";"Surface area (sq. km)";"AG.SRF.TOTL.K2";41540
"Netherlands";"NLD";"Population, total";"SP.POP.TOTL";17441500
"New Caledonia";"NCL";"Surface area (sq. km)";"AG.SRF.TOTL.K2";18580
"New Caledonia";"NCL";"Population, total";"SP.POP.TOTL";271080
