"Country Name";"Country Code";"Series Name";"Series Code";"YR2020"
"New Zealand";"NZL";"Surface area (sq. km)";"AG.SRF.TOTL.K2";267710
"New Zealand";"NZL";"Population, total";"SP.POP.TOTL";5090200
"Nicaragua";"NIC";"Surface area (sq. km)";"AG.SRF.TOTL.K2";130370
"Nicaragua";"NIC";"Population, total";"SP.POP.TOTL";6755895
"Niger";"NER";"Surface area (sq. km)";"AG.SRF.TOTL.K2";1267000
"Niger";"NER";"Population, total";"SP.POP.TOTL";24333639
"Nigeria";"NGA";"Surface area (sq. km)";"AG.SRF.TOTL.K2";923770
"Nigeria";"NGA";"Population, total";"SP.POP.TOTL";208327405
"North Macedonia";"MKD";"Surface area (sq. km)";"AG.SRF.TOTL.K2";25710
"North Macedonia";"MKD";"Population, total";"SP.POP.TOTL";1856124
"Northern Mariana Islands";"MNP";"Surface area (sq. km)";"AG.SRF.TOTL.K2";460
"Northern Mariana Islands";"MNP";"Population, total";"SP.POP.TOTL";49587
"Norway";"NOR";"Surface area (sq. km)";"AG.SRF.TOTL.K2";624499
"Norway";"NOR";"Population, total";"SP.POP.TOTL";5379475
"Oman";"OMN";"Surface area (sq. km)";"AG.SRF.TOTL.K2";309500
"Oman";"OMN";"Population, total";"SP.POP.TOTL";4543399
"Pakistan";"PAK";"Surface area (sq. km)";"AG.SRF.TOTL.K2";796100
"Pakistan";"PAK";"Population, total";"SP.POP.TOTL";227196741
"Palau";"PLW";"Surface area (sq. km)";"AG.SRF.TOTL.K2";460
"Palau";"PLW";"Population, total";"SP.POP.TOTL";17972
"Panama";"PAN";"Surface area (sq. km)";"AG.SRF.TOTL.K2";75320
"Panama";"PAN";"Population, total";"SP.POP.TOTL";4294396
"Papua New Guinea";"PNG";"Surface area (sq. km)";"AG.SRF.TOTL.K2";462840
"Papua New Guinea";"PNG";"Population, total";"SP.POP.TOTL";9749640
"Paraguay";"PRY";"Surface area (sq. km)";"AG.SRF.TOTL.K2";406752
"Paraguay";"PRY";"Population, total";"SP.POP.TOTL";6618695
"Peru";"PER";"Surface area (sq. km)";"AG.SRF.TOTL.K2";1285220
"Peru";"PER";"Population, total";"SP.POP.TOTL";33304756
"Philippines";"PHL";"Surface area (sq. km)";"AG.SRF.TOTL.K2";300000
"Philippines";"PHL";"Population, total";"SP.POP.TOTL";112190977
"Poland";"POL";"Surface area (sq. km)";"AG.SRF.TOTL.K2";312710
"Poland";"POL";"Population, total";"SP.POP.TOTL";37899070
"Portugal";"PRT";"Surface area (sq. km)";"AG.SRF.TOTL.K2";92230
"Portugal";"PRT";"Population, total";"SP.POP.TOTL";10297081
"Puerto Rico";"PRI";"Surface area (sq. km)";"AG.SRF.TOTL.K2";8870
"Puerto Rico";"PRI";"Population, total";"SP.POP.TOTL";3281557
"Qatar";"QAT";"Surface area (sq. km)";"AG.SRF.TOTL.K2";11490
"Qatar";"QAT";"Population, total";"SP.POP.TOTL";2760385
"Romania";"ROU";"Surface area (sq. km)";"AG.SRF.TOTL.K2";238400
"Romania";"ROU";"Population, total";"SP.POP.TOTL";19265250
"Russian Federation";"RUS";"Surface area (sq. km)";"AG.SRF.TOTL.K2";17098250
"Russian Federation";"RUS";"Population, total";"SP.POP.TOTL";145245148
"Rwanda";"RWA";"Surface area (sq. km)";"AG.SRF.TOTL.K2";26340
"Rwanda";"RWA";"Population, total";"SP.POP.TOTL";13146362
"Samoa";"WSM";"Surface area (sq. km)";"AG.SRF.TOTL.K2";2840
"Samoa";"WSM";"Population, total";"SP.POP.TOTL";214929
"San Marino";"SMR";"Surface area (sq. km)";"AG.SRF.TOTL.K2";60
"San Marino";"SMR";"Population, total";"SP.POP.TOTL";34007
"Sao Tome and Principe";"STP";"Surface area (sq. km)";"AG.SRF.TOTL.K2";960
"Sao Tome and Principe";"STP";"Population, total";"SP.POP.TOTL";218641
"Saudi Arabia";"SAU";"Surface area (sq. km)";"AG.SRF.TOTL.K2";2149690
"Saudi Arabia";"SAU";"Population, total";"SP.POP.TOTL";35997107
"Senegal";"SEN";"Surface area (sq. km)";"AG.SRF.TOTL.K2";196710
"Senegal";"SEN";"Population, total";"SP.POP.TOTL";16436120
"Serbia";"SRB";"Surface area (sq. km)";"AG.SRF.TOTL.K2";84990
"Serbia";"SRB";"Population, total";"SP.POP.TOTL";6899126
"Seychelles";"SYC";"Surface area (sq. km)";"AG.SRF.TOTL.K2";460
"Seychelles";"SYC";"Population, total";"SP.POP.TOTL";98462
"Sierra Leone";"SLE";"Surface area (sq. km)";"AG.SRF.TOTL.K2";72300
"Sierra Leone";"SLE";"Population, total";"SP.POP.TOTL";8233970
"Singapore";"SGP";"Surface area (sq. km)";"AG.SRF.TOTL.K2";728
"Singapore";"SGP";"Population, total";"SP.POP.TOTL";5685807
"Sint Maarten (Dutch part)";"SXM";"Surface area (sq. km)";"AG.SRF.TOTL.K2";34
"Sint Maarten (Dutch part)";"SXM";"Population, total";"SP.POP.TOTL";40350
"Slovak Republic";"SVK";"Surface area (sq. km)";"AG.SRF.TOTL.K2";49030
"Slovak Republic";"SVK";"Population, total";"SP.POP.TOTL";5458827
"Slovenia";"SVN";"Surface area (sq. km)";"AG.SRF.TOTL.K2";20480
"Slovenia";"SVN";"Population, total";"SP.POP.TOTL";2102419
"Solomon Islands";"SLB";"Surface area (sq. km)";"AG.SRF.TOTL.K2";28900
"Solomon Islands";"SLB";"Population, total";"SP.POP.TOTL";691191
"Somalia";"SOM";"Surface area (sq. km)";"AG.SRF.TOTL.K2";637660
"Somalia";"SOM";"Population, total";"SP.POP.TOTL";16537016
"South Africa";"ZAF";"Surface area (sq. km)";"AG.SRF.TOTL.K2";1219090
"South Africa";"ZAF";"Population, total";"SP.POP.TOTL";58801927
"South Sudan";"SSD";"Surface area (sq. km)";"AG.SRF.TOTL.K2";646883
"South Sudan";"SSD";"Population, total";"SP.POP.TOTL";10606227
"Spain";"ESP";"Surface area (sq. km)";"AG.SRF.TOTL.K2";505969,891
"Spain";"ESP";"Population, total";"SP.POP.TOTL";47365655
"Sri Lanka";"LKA";"Surface area (sq. km)";"AG.SRF.TOTL.K2";65610
"Sri Lanka";"LKA";"Population, total";"SP.POP.TOTL";21919000
"St. Kitts and Nevis";"KNA";"Surface area (sq. km)";"AG.SRF.TOTL.K2";260
"St. Kitts and Nevis";"KNA";"Population, total";"SP.POP.TOTL";47642
"St. Lucia";"LCA";"Surface area (sq. km)";"AG.SRF.TOTL.K2";620
"St. Lucia";"LCA";"Population, total";"SP.POP.TOTL";179237
"St. Martin (French part)";"MAF";"Surface area (sq. km)";"AG.SRF.TOTL.K2";50
"St. Martin (French part)";"MAF";"Population, total";"SP.POP.TOTL";32553
"St. Vincent and the Grenadines";"VCT";"Surface area (sq. km)";"AG.SRF.TOTL.K2";390
"St. Vincent and the Grenadines";"VCT";"Population, total";"SP.POP.TOTL";104632
"Sudan";"SDN";"Surface area (sq. km)";"AG.SRF.TOTL.K2";1878000
"Sudan";"SDN";"Population, total";"SP.POP.TOTL";44440486
"Suriname";"SUR";"Surface area (sq. km)";"AG.SRF.TOTL.K2";163820
"Suriname";"SUR";"Population, total";"SP.POP.TOTL";607065
"Sweden";"SWE";"Surface area (sq. km)";"AG.SRF.TOTL.K2";528860,704
"Sweden";"SWE";"Population, total";"SP.POP.TOTL";10353442
"Switzerland";"CHE";"Surface area (sq. km)";"AG.SRF.TOTL.K2";41290,7
"Switzerland";"CHE";"Population, total";"SP.POP.TOTL";8638167
"Syrian Arab Republic";"SYR";"Surface area (sq. km)";"AG.SRF.TOTL.K2";185180
"Syrian Arab Republic";"SYR";"Population, total";"SP.POP.TOTL";20772595
"Tajikistan";"TJK";"Surface area (sq. km)";"AG.SRF.TOTL.K2";141380
"Tajikistan";"TJK";"Population, total";"SP.POP.TOTL";9543207
"Tanzania";"TZA";"Surface area (sq. km)";"AG.SRF.TOTL.K2";947300
"Tanzania";"TZA";"Population, total";"SP.POP.TOTL";61704518
"Thailand";"THA";"Surface area (sq. km)";"AG.SRF.TOTL.K2";513120
"Thailand";"THA";"Population, total";"SP.POP.TOTL";71475664
"Timor-Leste";"TLS";"Surface area (sq. km)";"AG.SRF.TOTL.K2";14870
"Timor-Leste";"TLS";"Population, total";"SP.POP.TOTL";1299995
"Togo";"TGO";"Surface area (sq. km)";"AG.SRF.TOTL.K2";56790
"Togo";"TGO";"Population, total";"SP.POP.TOTL";8442580
"Tonga";"TON";"Surface area (sq. km)";"AG.SRF.TOTL.K2";750
"Tonga";"TON";"Population, total";"SP.POP.TOTL";105254
"Trinidad and Tobago";"TTO";"Surface area (sq. km)";"AG.SRF.TOTL.K2";5130
"Trinidad and Tobago";"TTO";"Population, total";"SP.POP.TOTL";1518147
"Tunisia";"TUN";"Surface area (sq. km)";"AG.SRF.TOTL.K2";163610
"Tunisia";"TUN";"Population, total";"SP.POP.TOTL";12161723
"Turkiye";"TUR";"Surface area (sq. km)";"AG.SRF.TOTL.K2";785350
"Turkiye";"TUR";"Population, total";"SP.POP.TOTL";83384680
"Turkmenistan";"TKM";"Surface area (sq. km)";"AG.SRF.TOTL.K2";488100
"Turkmenistan";"TKM";"Population, total";"SP.POP.TOTL";6250438
"Turks and Caicos Islands";"TCA";"Surface area (sq. km)";"AG.SRF.TOTL.K2";950
"Turks and Caicos Islands";"TCA";"Population, total";"SP.POP.TOTL";44276
"Tuvalu";"TUV";"Surface area (sq. km)";"AG.SRF.TOTL.K2";30
"Tuvalu";"TUV";"Population, total";"SP.POP.TOTL";11069
"Uganda";"UGA";"Surface area (sq. km)";"AG.SRF.TOTL.K2";241550
"Uganda";"UGA";"Population, total";"SP.POP.TOTL";44404611
"Ukraine";"UKR";"Surface area (sq. km)";"AG.SRF.TOTL.K2";603550
"Ukraine";"UKR";"Population, total";"SP.POP.TOTL";44207754
"United Arab Emirates";"ARE";"Surface area (sq. km)";"AG.SRF.TOTL.K2";98647,9
"United Arab Emirates";"ARE";"Population, total";"SP.POP.TOTL";9287289
"United Kingdom";"GBR";"Surface area (sq. km)";"AG.SRF.TOTL.K2";243610
"United Kingdom";"GBR";"Population, total";"SP.POP.TOTL";67081234
"United States";"USA";"Surface area (sq. km)";"AG.SRF.TOTL.K2";9831510
"United States";"USA";"Population, total";"SP.POP.TOTL";331526933
"Uruguay";"URY";"Surface area (sq. km)";"AG.SRF.TOTL.K2";176220
"Uruguay";"URY";"Population, total";"SP.POP.TOTL";3429086
"Uzbekistan";"UZB";"Surface area (sq. km)";"AG.SRF.TOTL.K2";448924
"Uzbekistan";"UZB";"Population, total";"SP.POP.TOTL";34232050
"Vanuatu";"VUT";"Surface area (sq. km)";"AG.SRF.TOTL.K2";12190
"Vanuatu";"VUT";"Population, total";"SP.POP.TOTL";311685
"Venezuela, RB";"VEN";"Surface area (sq. km)";"AG.SRF.TOTL.K2";912050
"Venezuela, RB";"VEN";"Population, total";"SP.POP.TOTL";28490453
"Viet Nam";"VNM";"Surface area (sq. km)";"AG.SRF.TOTL.K2";331340
"Viet Nam";"VNM";"Population, total";"SP.POP.TOTL";96648685
"Virgin Islands (U.S.)";"VIR";"Surface area (sq. km)";"AG.SRF.TOTL.K2";350
"Virgin Islands (U.S.)";"VIR";"Population, total";"SP.POP.TOTL";106290
"West Bank and Gaza";"PSE";"Surface area (sq. km)";"AG.SRF.TOTL.K2";6020
"West Bank and Gaza";"PSE";"Population, total";"SP.POP.TOTL";4803269
"Yemen, Rep.";"YEM";"Surface area (sq. km)";"AG.SRF.TOTL.K2";527970
"Yemen, Rep.";"YEM";"Population, total";"SP.POP.TOTL";32284046
"Zambia";"ZMB";"Surface area (sq. km)";"AG.SRF.TOTL.K2";752610
"Zambia";"ZMB";"Population, total";"SP.POP.TOTL";18927715
"Zimbabwe";"ZWE";"Surface area (sq. km)";"AG.SRF.TOTL.K2";390760
"Zimbabwe";"ZWE";"Population, total";"SP.POP.TOTL";15669666
"Africa Eastern and Southern";"AFE";"Surface area (sq. km)";"AG.SRF.TOTL.K2";15162005,871
"Africa Eastern and Southern";"AFE";"Population, total";"SP.POP.TOTL";685112979
"Africa Western and Central";"AFW";"Surface area (sq. km)";"AG.SRF.TOTL.K2";9166260
"Africa Western and Central";"AFW";"Population, total";"SP.POP.TOTL";466189102
"Arab World";"ARB";"Surface area (sq. km)";"AG.SRF.TOTL.K2";13166234,9
"Arab World";"ARB";"Population, total";"SP.POP.TOTL";449228296
"Caribbean small states";"CSS";"Surface area (sq. km)";"AG.SRF.TOTL.K2";434990
"Caribbean small states";"CSS";"Population, total";"SP.POP.TOTL";3106185
"Central Europe and the Baltics";"CEB";"Surface area (sq. km)";"AG.SRF.TOTL.K2";1166811,01
"Central Europe and the Baltics";"CEB";"Population, total";"SP.POP.TOTL";102180124
"Early-demographic dividend";"EAR";"Surface area (sq. km)";"AG.SRF.TOTL.K2";34243010,624
"Early-demographic dividend";"EAR";"Population, total";"SP.POP.TOTL";3374383528
"East Asia & Pacific";"EAS";"Surface area (sq. km)";"AG.SRF.TOTL.K2";24830629,419
"East Asia & Pacific";"EAS";"Population, total";"SP.POP.TOTL";2363934334
"East Asia & Pacific (excluding high income)";"EAP";"Surface area (sq. km)";"AG.SRF.TOTL.K2";16276443,519
"East Asia & Pacific (excluding high income)";"EAP";"Population, total";"SP.POP.TOTL";2116360715
"East Asia & Pacific (IDA & IBRD countries)";"TEA";"Surface area (sq. km)";"AG.SRF.TOTL.K2";16155923,519
"East Asia & Pacific (IDA & IBRD countries)";"TEA";"Population, total";"SP.POP.TOTL";2090523535
"Euro area";"EMU";"Surface area (sq. km)";"AG.SRF.TOTL.K2";2760483,761
"Euro area";"EMU";"Population, total";"SP.POP.TOTL";346961127
"Europe & Central Asia";"ECS";"Surface area (sq. km)";"AG.SRF.TOTL.K2";28813751,765
"Europe & Central Asia";"ECS";"Population, total";"SP.POP.TOTL";923384672
"Europe & Central Asia (excluding high income)";"ECA";"Surface area (sq. km)";"AG.SRF.TOTL.K2";23233374
"Europe & Central Asia (excluding high income)";"ECA";"Population, total";"SP.POP.TOTL";248913167
"Europe & Central Asia (IDA & IBRD countries)";"TEC";"Surface area (sq. km)";"AG.SRF.TOTL.K2";23872554
"Europe & Central Asia (IDA & IBRD countries)";"TEC";"Population, total";"SP.POP.TOTL";462304330
"European Union";"EUU";"Surface area (sq. km)";"AG.SRF.TOTL.K2";4254345,475
"European Union";"EUU";"Population, total";"SP.POP.TOTL";447692315
"Fragile and conflict affected situations";"FCS";"Surface area (sq. km)";"AG.SRF.TOTL.K2";20757135,871
"Fragile and conflict affected situations";"FCS";"Population, total";"SP.POP.TOTL";979839336
"Heavily indebted poor countries (HIPC)";"HPC";"Surface area (sq. km)";"AG.SRF.TOTL.K2";19801755,871
"Heavily indebted poor countries (HIPC)";"HPC";"Population, total";"SP.POP.TOTL";838066650
"High income";"HIC";"Surface area (sq. km)";"AG.SRF.TOTL.K2";37715538,565
"High income";"HIC";"Population, total";"SP.POP.TOTL";1393950970
"IBRD only";"IBD";"Surface area (sq. km)";"AG.SRF.TOTL.K2";73008746,879
"IBRD only";"IBD";"Population, total";"SP.POP.TOTL";4866828116
"IDA & IBRD total";"IBT";"Surface area (sq. km)";"AG.SRF.TOTL.K2";98648759,75
"IDA & IBRD total";"IBT";"Population, total";"SP.POP.TOTL";6628629499
"IDA blend";"IDB";"Surface area (sq. km)";"AG.SRF.TOTL.K2";4459474
"IDA blend";"IDB";"Population, total";"SP.POP.TOTL";584212703
"IDA only";"IDX";"Surface area (sq. km)";"AG.SRF.TOTL.K2";21180538,871
"IDA only";"IDX";"Population, total";"SP.POP.TOTL";1177588680
"IDA total";"IDA";"Surface area (sq. km)";"AG.SRF.TOTL.K2";25640012,871
"IDA total";"IDA";"Population, total";"SP.POP.TOTL";1761801383
"Late-demographic dividend";"LTE";"Surface area (sq. km)";"AG.SRF.TOTL.K2";45779681,699
"Late-demographic dividend";"LTE";"Population, total";"SP.POP.TOTL";2318233156
"Latin America & Caribbean";"LCN";"Surface area (sq. km)";"AG.SRF.TOTL.K2";20523017,36
"Latin America & Caribbean";"LCN";"Population, total";"SP.POP.TOTL";650533026
"Latin America & Caribbean (excluding high income)";"LAC";"Surface area (sq. km)";"AG.SRF.TOTL.K2";18356325,36
"Latin America & Caribbean (excluding high income)";"LAC";"Population, total";"SP.POP.TOTL";588011178
"Latin America & the Caribbean (IDA & IBRD countries)";"TLA";"Surface area (sq. km)";"AG.SRF.TOTL.K2";20387535,36
"Latin America & the Caribbean (IDA & IBRD countries)";"TLA";"Population, total";"SP.POP.TOTL";634961078
"Least developed countries: UN classification";"LDC";"Surface area (sq. km)";"AG.SRF.TOTL.K2";20814208,871
"Least developed countries: UN classification";"LDC";"Population, total";"SP.POP.TOTL";1072970944
"Low & middle income";"LMY";"Surface area (sq. km)";"AG.SRF.TOTL.K2";96104449,75
"Low & middle income";"LMY";"Population, total";"SP.POP.TOTL";6398830423
"Low income";"LIC";"Surface area (sq. km)";"AG.SRF.TOTL.K2";15028977,871
"Low income";"LIC";"Population, total";"SP.POP.TOTL";667053670
"Lower middle income";"LMC";"Surface area (sq. km)";"AG.SRF.TOTL.K2";24782149,749
"Lower middle income";"LMC";"Population, total";"SP.POP.TOTL";2943860780
"Middle East & North Africa";"MEA";"Surface area (sq. km)";"AG.SRF.TOTL.K2";11385553,9
"Middle East & North Africa";"MEA";"Population, total";"SP.POP.TOTL";479966649
"Middle East & North Africa (excluding high income)";"MNA";"Surface area (sq. km)";"AG.SRF.TOTL.K2";8775231
"Middle East & North Africa (excluding high income)";"MNA";"Population, total";"SP.POP.TOTL";411810124
"Middle East & North Africa (IDA & IBRD countries)";"TMN";"Surface area (sq. km)";"AG.SRF.TOTL.K2";8769211
"Middle East & North Africa (IDA & IBRD countries)";"TMN";"Population, total";"SP.POP.TOTL";407006855
"Middle income";"MIC";"Surface area (sq. km)";"AG.SRF.TOTL.K2";81075471,879
"Middle income";"MIC";"Population, total";"SP.POP.TOTL";5731776753
"North America";"NAC";"Surface area (sq. km)";"AG.SRF.TOTL.K2";19715550
"North America";"NAC";"Population, total";"SP.POP.TOTL";369619464
"Not classified";"INX";"Surface area (sq. km)";"AG.SRF.TOTL.K2";".."
"Not classified";"INX";"Population, total";"SP.POP.TOTL";".."
"OECD members";"OED";"Surface area (sq. km)";"AG.SRF.TOTL.K2";37738493,225
"OECD members";"OED";"Population, total";"SP.POP.TOTL";1369502262
"Other small states";"OSS";"Surface area (sq. km)";"AG.SRF.TOTL.K2";2072793
"Other small states";"OSS";"Population, total";"SP.POP.TOTL";13853034
"Pacific island small states";"PSS";"Surface area (sq. km)";"AG.SRF.TOTL.K2";65150
"Pacific island small states";"PSS";"Population, total";"SP.POP.TOTL";2566819
"Post-demographic dividend";"PST";"Surface area (sq. km)";"AG.SRF.TOTL.K2";33547710,075
"Post-demographic dividend";"PST";"Population, total";"SP.POP.TOTL";1117530670
"Pre-demographic dividend";"PRE";"Surface area (sq. km)";"AG.SRF.TOTL.K2";20691221,327
"Pre-demographic dividend";"PRE";"Population, total";"SP.POP.TOTL";984213438
"Small states";"SST";"Surface area (sq. km)";"AG.SRF.TOTL.K2";2572933
"Small states";"SST";"Population, total";"SP.POP.TOTL";19526038
"South Asia";"SAS";"Surface area (sq. km)";"AG.SRF.TOTL.K2";5135270
"South Asia";"SAS";"Population, total";"SP.POP.TOTL";1882531620
"South Asia (IDA & IBRD)";"TSA";"Surface area (sq. km)";"AG.SRF.TOTL.K2";5135270
"South Asia (IDA & IBRD)";"TSA";"Population, total";"SP.POP.TOTL";1882531620
"Sub-Saharan Africa";"SSF";"Surface area (sq. km)";"AG.SRF.TOTL.K2";24328265,871
"Sub-Saharan Africa";"SSF";"Population, total";"SP.POP.TOTL";1151302081
"Sub-Saharan Africa (excluding high income)";"SSA";"Surface area (sq. km)";"AG.SRF.TOTL.K2";24327805,871
"Sub-Saharan Africa (excluding high income)";"SSA";"Population, total";"SP.POP.TOTL";1151203619
"Sub-Saharan Africa (IDA & IBRD countries)";"TSS";"Surface area (sq. km)";"AG.SRF.TOTL.K2";24328265,871
"Sub-Saharan Africa (IDA & IBRD countries)";"TSS";"Population, total";"SP.POP.TOTL";1151302081
"Upper middle income";"UMC";"Surface area (sq. km)";"AG.SRF.TOTL.K2";56293322,13
"Upper middle income";"UMC";"Population, total";"SP.POP.TOTL";2787915973
"World";"WLD";"Surface area (sq. km)";"AG.SRF.TOTL.K2";134732038,315
"World";"WLD";"Population, total";"SP.POP.TOTL";7821271846
