Entity,"GHG emissions per 1000kcal (Poore & Nemecek, 2018)"
Apples,0.895833333
Bananas,1.433333333
Barley,0.236
Beef (beef herd),36.43956044
Beef (dairy herd),12.1978022
Beet Sugar,0.515669516
Berries & Grapes,2.684210526
Brassicas,3
Cane Sugar,0.911680912
Cassava,1.35523614
Cheese,6.170542636
Citrus Fruit,1.21875
Coffee,50.94642857
Dark Chocolate,9.023210832
Eggs,3.243055556
Fish (farmed),7.61452514
Groundnuts,0.556896552
Lamb & Mutton,12.52996845
Maize,0.375898286
Milk,5.25
Nuts,0.069918699
Oatmeal,0.945482272
Olive Oil,0.613122172
Onions & Leeks,1.351351351
Other Pulses,0.524926686
Palm Oil,0.828054299
Peas,0.283236994
Pig Meat,5.150627615
Potatoes,0.628415301
Poultry Meat,5.335135135
Prawns (farmed),26.08737864
Rapeseed Oil,0.426470588
Rice,1.207270754
Root Vegetables,1.162162162
Sunflower Oil,0.407239819
Tofu (soybeans),1.166051661
Tomatoes,11
Wheat & Rye,0.586843492